district_id,district,region,urban_rural_class,lat,lon,total_pop,poverty_incidence,poverty_intensity,illiteracy_rate,literacy_rate,uninsured_rate,non_employment_share,dependency_ratio,urban,geojson_district,gap_merged_for_map
129,Ablekuma North Municipal,GREATER ACCRA,Municipal,5.58719365,-0.263259064824942,159208,8.3,42.9,7.15,92.85,36.66,39.56,46.84,1,ABLEKUMA NORTH MUNICIPAL,0
130,Ablekuma West Municipal,GREATER ACCRA,Municipal,5.5431939,-0.26615017413473,153490,8.9,43.0,8.15,91.85,39.41,42.78,51.22,1,ABLEKUMA WEST MUNICIPAL,0
131,"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",GREATER ACCRA,Metropolitan,5.55381875,-0.205849787615075,276997,11.1,43.9,16.66,83.34,38.04,41.15,37.93,1,ACCRA METROPOLIS,0
132,Ada East,GREATER ACCRA,District,5.8761016,0.549568161630084,76411,28.2,44.2,29.29,70.71,42.91,51.26,72.14,0,ADA EAST,0
133,Ada West,GREATER ACCRA,District,5.9040093,0.420370257026968,76087,40.1,44.7,33.13,66.87,59.26,49.9,82.13,0,ADA WEST,0
134,Adentan Municipal,GREATER ACCRA,Municipal,5.7042433,-0.1690967,265971,8.3,41.8,7.13,92.87,37.46,43.07,46.46,1,ADENTA MUNICIPAL,0
135,Ashaiman Municipal,GREATER ACCRA,Municipal,5.6993574,-0.0348533202566188,208060,7.5,43.3,11.32,88.68,35.07,37.86,49.75,1,ASHAIMAN MUNICIPAL,0
136,Ayawaso Central Municipal,GREATER ACCRA,Municipal,5.59137939999999,-0.212668442666915,94831,12.2,42.8,9.12,90.88,43.81,44.05,44.36,1,AYAWASO CENTRAL MUNICIPAL,0
137,Ayawaso East Municipal,GREATER ACCRA,Municipal,5.5828425,-0.194266228463183,53004,15.4,44.0,19.03,80.97,38.87,51.72,49.49,1,AYAWASO EAST MUNICIPAL,0
138,Ayawaso North Municipal,GREATER ACCRA,Municipal,5.5908829,-0.199044848506062,63386,13.9,43.8,14.26,85.74,33.99,50.2,47.21,1,AYAWASO NORTH MUNICIPAL,0
139,Ayawaso West Municipal,GREATER ACCRA,Municipal,5.62669775,-0.179111178909241,75303,9.3,41.6,5.41,94.59,35.1,54.61,29.64,1,AYAWASO WEST,0
140,Ga Central Municipal,GREATER ACCRA,Municipal,5.3203951,-2.0334832,332232,8.3,42.6,7.0,93.0,43.68,41.33,50.79,1,GA CENTRAL MUNICIPAL,0
141,Ga East Municipal,GREATER ACCRA,Municipal,5.669162,-0.333376,283379,10.1,41.8,6.67,93.33,37.32,45.54,46.33,1,GA EAST,0
142,Ga North Municipal,GREATER ACCRA,Municipal,5.669162,-0.333376,235292,10.5,42.3,8.04,91.96,36.7,46.83,50.29,1,GA NORTH MUNICIPAL,0
143,Ga South Municipal,GREATER ACCRA,Municipal,5.669162,-0.333376,350121,15.8,44.1,14.28,85.72,51.14,45.22,60.03,1,GA SOUTH MUNICIPAL,0
144,Ga West Municipal,GREATER ACCRA,Municipal,5.669162,-0.333376,314299,10.5,43.3,11.33,88.67,39.3,45.61,60.15,1,GA WEST MUNICIPAL,0
145,Korle Klottey Municipal,GREATER ACCRA,Municipal,5.55901944999999,-0.19823054970895,68633,10.6,43.4,9.2,90.8,34.32,44.23,38.14,1,KORLE KLOTTEY MUNICIPAL,0
146,Kpone Katamanso Municipal,GREATER ACCRA,Municipal,5.77159775,-0.0733651054089466,412828,10.5,43.1,9.26,90.74,37.86,44.34,56.17,1,KPONE KATAMANSO,0
147,Krowor Municipal,GREATER ACCRA,Municipal,5.60941925,-0.0769277820845922,143012,12.4,42.4,7.14,92.86,43.14,47.78,43.47,1,KROWOR MUNICIPAL,0
148,La Dade-Kotopon Municipal,GREATER ACCRA,Municipal,5.58947605,-0.156988356399583,140264,8.9,43.1,5.47,94.53,37.07,42.18,45.64,1,LA DADE-KOTOPON,0
149,La Nkwantanang Madina Municipal,GREATER ACCRA,Municipal,5.74468145,-0.172508699400876,220757,11.3,42.7,7.71,92.29,35.27,47.04,46.28,1,LA-NKWANTANANG-MADINA,0
150,Ledzokuku Municipal,GREATER ACCRA,Municipal,5.6050983,-0.114493361214251,217304,11.3,43.3,8.55,91.45,37.76,46.33,46.06,1,LEDZOKUKU MUNICIPAL,0
151,Ningo-Prampram,GREATER ACCRA,Municipal,5.81176965,0.146110955005239,204673,19.4,44.0,17.4,82.6,45.17,46.48,60.55,1,NINGO/PRAMPRAM,0
152,Okaikoi North Municipal,GREATER ACCRA,Municipal,5.6104365,-0.2395459,160446,11.1,42.4,7.96,92.04,33.88,46.24,43.98,1,OKAIKWEI NORTH MUNICIPAL,0
153,Shai-Osudoku,GREATER ACCRA,District,5.95875335,0.161872328401567,105610,23.5,44.2,21.55,78.45,28.74,51.3,63.48,0,SHAI OSUDOKU,0
154,Tema Metropolitan Area (TMA)-Tema Central & Tema East,GREATER ACCRA,Metropolitan,5.6698,-0.01657,174494,11.6,43.8,11.35,88.65,45.19,44.46,44.81,1,TEMA METROPOLITAN,0
155,Tema West Municipal,GREATER ACCRA,Municipal,5.65076355,-0.0688760444019398,196224,8.2,42.0,5.49,94.51,39.21,42.54,46.38,1,TEMA WEST MUNICIPAL,0
156,Weija Gbawe Municipal,GREATER ACCRA,Municipal,5.55414475,-0.296466750643799,213674,8.7,42.9,7.82,92.18,39.69,41.93,52.9,1,WEIJA GBAWE MUNICIPAL,0
157,Gushegu Municipal,NORTHERN,Municipal,9.9185016,-0.2164706,153965,51.5,44.3,59.79,40.21,48.12,53.48,109.25,1,GUSHEGU,0
158,Karaga,NORTHERN,District,9.9267799,-0.4316607,114225,50.5,46.5,60.84,39.16,43.87,57.04,102.94,0,KARAGA,0
159,Kpandai,NORTHERN,District,8.4635789,-0.0119853,126213,48.6,42.1,51.02,48.98,53.63,41.44,89.3,0,KPANDAI,0
160,Kumbungu,NORTHERN,District,9.5591282,-0.9467086,110586,45.0,46.4,50.71,49.29,35.69,66.73,98.46,0,KUMBUNGU,0
161,Mion,NORTHERN,District,9.45284905,-0.335525511842833,94930,53.4,44.5,60.72,39.28,42.38,52.19,101.83,0,MION,0
162,Nanton,NORTHERN,District,9.55848269999999,-0.710728600167338,50767,39.9,45.3,55.04,44.96,38.79,55.29,99.2,0,NANTON,0
163,Nanumba North Municipal,NORTHERN,Municipal,8.92200959999999,-0.138644700894755,188680,41.5,41.4,53.02,46.98,43.86,46.05,96.88,1,NANUMBA NORTH,0
164,Nanumba South,NORTHERN,District,8.76637935,0.0549741822848612,106374,46.3,42.3,54.98,45.02,43.47,44.84,106.03,0,NANUMBA SOUTH,0
165,Saboba,NORTHERN,District,9.70870525,0.196098328672698,95683,46.0,45.3,45.9,54.1,21.53,56.1,88.3,0,SABOBA,0
166,Sagnarigu Municipal,NORTHERN,Municipal,9.48585935,-0.855049753344912,341711,18.7,43.9,27.51,72.49,18.26,58.87,71.78,1,SAGNERIGU,0
167,Savelugu Municipal,NORTHERN,Municipal,9.6260647,-0.8258943,122888,41.1,45.5,49.39,50.61,35.83,67.25,90.57,1,SAVELUGU,0
168,Tamale Metropolitan Area (TMA)-Tamale Central & Tamale South,NORTHERN,Metropolitan,9.40078,-0.8393,367324,21.0,44.0,33.61,66.39,26.65,52.76,68.75,1,TAMALE METROPOLITAN,0
169,Tatale Sanguli,NORTHERN,District,9.34906725,0.514632473680653,74805,52.4,43.5,54.72,45.28,48.75,48.15,100.9,0,TATALE SANGULI,0
170,Tolon,NORTHERN,District,9.555956,-1.19792230212529,118090,57.5,46.8,56.02,43.98,52.02,67.0,94.39,0,TOLON,0
171,Yendi Municipal,NORTHERN,Municipal,9.4739214,0.022769270127783,154421,38.3,45.3,46.25,53.75,23.76,60.15,88.11,1,YENDI MUNICIPAL,0
172,Zabzugu,NORTHERN,District,9.294058,0.367064,82846,42.7,43.3,55.77,44.23,39.02,54.98,101.48,0,ZABZUGU,0
173,Bunkpurugu Nakpanduri,NORTHERN EAST,District,10.632198,-0.180118,82384,38.3,45.5,38.56,61.44,10.71,67.1,75.74,0,BUNKPURUGU NAKPANDURI,0
174,Chereponi,NORTHERN EAST,District,10.1792653999999,0.207987165887793,87176,53.8,44.2,56.31,43.69,37.28,59.91,102.96,0,CHEREPONI,0
175,East Mamprusi Municipal,NORTHERN EAST,Municipal,10.45279035,-0.416678651029704,188006,54.7,47.4,52.28,47.72,16.82,73.33,97.47,1,EAST MAMPRUSI,0
176,Mamprugu Moagduri,NORTHERN EAST,District,10.23964,-1.27428,68746,44.5,42.4,58.87,41.13,62.55,41.69,97.67,0,MAMPRUGU MOAGDURI,0
177,West Mamprusi Municipal,NORTHERN EAST,Municipal,10.29738455,-0.764055036110824,175755,41.5,45.8,46.8,53.2,15.36,67.94,91.08,1,WEST MAMPRUSI MUNICIPAL,0
178,Yunyoo Nasuan,NORTHERN EAST,District,10.4415225,-0.0276844142154081,56879,56.9,47.0,58.02,41.98,33.07,64.41,111.6,0,YUNYOO-NASUAN,0
179,Biakoye,OTI,District,7.39217985,0.262973639210098,71827,34.2,42.2,31.34,68.66,39.0,41.32,77.0,0,BIAKOYE,0
180,Guan,OTI,District,7.19092,0.60951,28238,28.1,42.9,17.68,82.32,27.39,47.11,72.38,0,BIAKOYE,1
181,Jasikan Municipal,OTI,Municipal,7.40707195,0.466071316332564,59695,30.2,42.2,24.31,75.69,36.8,44.12,66.47,1,JASIKAN,0
182,Kadjebi,OTI,District,7.7210325,0.534053201682814,73959,27.2,41.5,28.64,71.36,28.9,41.86,73.37,0,KADJEBI,0
183,Krachi East Municipal,OTI,Municipal,7.69817,0.22447,110435,41.2,41.6,43.52,56.48,45.87,40.98,80.43,1,KRACHI EAST MUNICIPAL,0
184,Krachi Nchumuru,OTI,District,8.1892008,-0.0866133771431008,79934,47.2,40.8,47.79,52.21,60.02,37.31,86.7,0,KRACHI NCHUMURU,0
185,Krachi West Municipal,OTI,Municipal,7.8,-0.01667,61128,37.4,41.7,41.15,58.85,25.3,46.14,71.17,1,KRACHI WEST,0
186,Nkwanta North (Kpassa),OTI,District,8.4892994,0.3094664,126096,55.2,41.7,54.93,45.07,73.17,42.37,91.96,0,NKWANTA NORTH,0
187,Nkwanta South Municipal,OTI,Municipal,8.25811615,0.509975335946734,135936,42.8,41.8,44.77,55.23,52.28,40.65,82.68,1,NKWANTA SOUTH MUNICIPAL,0
188,Bole,SAVANNAH,District,8.69166865,-2.17855621492469,115800,37.2,44.8,48.8,51.2,19.56,61.39,69.47,0,BOLE,0
189,Central Gonja,SAVANNAH,District,8.93715119999999,-1.10983922943129,142762,61.8,46.6,56.92,43.08,46.18,68.51,95.23,0,CENTRAL GONJA,0
190,East Gonja Municipal,SAVANNAH,Municipal,8.347473,-0.7895018232454,117755,38.8,43.1,51.28,48.72,29.47,54.45,78.92,1,EAST GONJA MUNICIPAL,0
191,North East Gonja,SAVANNAH,District,8.98787705,-0.403868101269744,39404,60.4,45.6,59.93,40.07,58.9,58.35,99.6,0,NORTH EAST GONJA,0
192,North Gonja,SAVANNAH,District,8.98787705,-0.403868101269744,61443,58.4,47.2,60.04,39.96,59.7,63.64,94.25,0,NORTH GONJA,0
193,Sawla Tuna Kalba,SAVANNAH,District,9.4809443,-2.41330933679435,112664,54.2,46.9,58.73,41.27,42.85,65.47,87.76,0,SAWLA-TUNA-KALBA,0
194,West Gonja,SAVANNAH,Municipal,9.5267018,-1.5071681,63449,39.7,44.9,40.19,59.81,8.88,73.58,71.53,1,WEST GONJA,0
195,Bawku Municipal,UPPER EAST,Municipal,11.0607602,-0.2422876,119458,23.6,44.8,41.62,58.38,7.24,57.98,78.15,1,BAWKU MUNICIPAL,0
196,Bawku West,UPPER EAST,District,10.84277,-0.492947618512454,144189,47.6,47.2,51.87,48.13,12.63,64.64,86.58,0,BAWKU WEST,0
197,Binduri,UPPER EAST,District,10.9694889,-0.3062234,76679,53.8,47.8,52.68,47.32,14.26,70.34,88.38,0,BINDURI,0
198,Bolgatanga East,UPPER EAST,District,10.7853963,-0.8487322,38824,24.9,44.0,32.21,67.79,7.41,61.44,68.12,0,BOLGA  EAST,0
199,Bolgatanga Municipal,UPPER EAST,Municipal,10.7853963,-0.8487322,142509,20.2,44.8,28.31,71.69,8.78,55.94,63.26,1,BOLGATANGA MUNICIPAL,0
200,Bongo,UPPER EAST,District,10.9166838999999,-0.805767855895511,116431,54.0,48.5,44.64,55.36,17.02,77.24,78.53,0,BONGO,0
201,Builsa North Municipal,UPPER EAST,Municipal,10.73472,-1.29056,56571,39.7,46.8,39.93,60.07,11.47,65.29,72.26,1,BUILSA NORTH,0
202,Builsa South,UPPER EAST,District,10.53032385,-1.26246582508358,36575,55.1,47.7,51.08,48.92,21.89,69.7,76.19,0,BUILSA SOUTH,0
203,Garu,UPPER EAST,District,10.76975475,-0.21182067584702,71774,44.7,47.7,51.4,48.6,19.94,63.64,95.02,0,GARU,0
204,Kasena Nankana Municipal,UPPER EAST,Municipal,10.895598,-1.30768,99895,33.8,47.1,32.68,67.32,12.46,65.6,63.52,1,KASENA NANKANA EAST,0
205,Kasena Nankana West,UPPER EAST,District,10.895598,-1.30768,90735,53.6,47.4,41.15,58.85,13.6,74.07,78.1,0,KASENA NANKANA WEST,0
206,Nabdam,UPPER EAST,District,10.8469045,-0.661562047243897,53039,68.6,51.2,46.53,53.47,19.84,84.5,67.27,0,NABDAM,0
207,Pusiga,UPPER EAST,District,11.0854045,-0.1276855,80533,40.8,45.4,54.83,45.17,8.45,65.94,94.2,0,PUSIGA,0
208,Talensi,UPPER EAST,District,10.6451057499999,-0.62587443176215,87021,56.2,48.9,40.69,59.31,18.85,72.23,75.39,0,TALENSI,0
209,Tempane,UPPER EAST,District,10.9030714,-0.0914351270233069,86993,50.7,48.1,54.79,45.21,18.29,68.74,95.55,0,TEMPANE,0
210,Daffiama Bussie Issa,UPPER WEST,District,10.36748405,-2.26222672458466,38754,38.7,44.4,55.65,44.35,26.29,57.63,82.13,0,DAFFIAMA BUSSIE ISSA,0
211,Jirapa Municipal,UPPER WEST,Municipal,10.5366328,-2.7008646,91279,50.1,47.4,49.11,50.89,12.44,73.6,76.11,1,JIRAPA,0
212,Lambussie Karni,UPPER WEST,District,10.846747,-2.708741,51118,44.2,46.0,50.17,49.83,11.42,64.88,84.58,0,LAMBUSSIE-KARNI,0
213,Lawra Municipal,UPPER WEST,Municipal,10.61348995,-2.86412434170417,58433,39.5,45.8,46.11,53.89,6.05,66.16,74.56,1,LAWRA,0
214,Nadowli Kaleo,UPPER WEST,District,10.2868347,-2.6394776056347,77057,40.6,47.2,44.26,55.74,12.82,66.03,78.11,0,NADOWLI-KALEO,0
215,Nandom,UPPER WEST,Municipal,10.8520701,-2.760077,51328,31.8,44.8,43.85,56.15,5.23,64.15,72.36,1,NANDOM,0
216,Sissala East Municipal,UPPER WEST,Municipal,10.59705475,-1.85050542952138,80619,28.8,44.3,45.86,54.14,16.53,52.0,74.89,1,SISSALA EAST,0
217,Sissala West,UPPER WEST,District,10.7467085,-2.29346951572635,63828,32.3,46.1,49.84,50.16,12.48,59.7,85.56,0,SISSALA WEST,0
218,Wa East,UPPER WEST,District,10.06069,-2.50192,91457,48.7,45.3,58.2,41.8,31.36,55.34,82.98,0,WA EAST,0
219,Wa Municipal,UPPER WEST,Municipal,10.0623261,-2.5054273,200672,16.5,43.4,27.15,72.85,10.89,57.15,63.18,1,WA MUNICIPAL,0
220,Wa West,UPPER WEST,District,9.8985772,-2.6832633,96957,61.9,48.7,56.7,43.3,30.87,67.36,90.42,0,WA WEST,0
221,Adaklu,VOLTA,District,6.4470511,0.6286474,38649,33.2,43.6,28.62,71.38,27.03,50.28,74.77,0,ADAKLU,0
222,Afadzato South,VOLTA,District,7.0222497,0.561946,73146,32.5,43.7,19.28,80.72,28.94,53.76,74.52,0,AFADZATO SOUTH,0
223,Agortime-Ziope,VOLTA,District,6.42618935,0.732357165932429,39553,25.7,43.4,30.27,69.73,25.67,41.73,70.2,0,AGOTIME ZIOPE,0
224,Akatsi North,VOLTA,District,6.3108306,0.876439062223793,32755,39.3,44.4,35.49,64.51,51.12,49.91,76.87,0,AKATSI NORTH,0
225,Akatsi South Municipal,VOLTA,District,8.25846,0.508747,92133,30.1,44.5,29.13,70.87,31.45,52.81,71.31,0,AKATSI SOUTH,0
226,Anloga,VOLTA,District,5.7936484,0.8984702,94895,31.6,45.9,30.83,69.17,43.92,56.94,70.8,0,ANLOGA,0
227,Central Tongu,VOLTA,District,6.16884364999999,0.611561745917151,83284,36.0,44.4,35.01,64.99,31.61,53.52,77.61,0,CENTRAL TONGU,0
228,Ho Municipal,VOLTA,Municipal,6.6126598,0.4688932,180142,12.5,42.1,10.56,89.44,13.46,52.5,50.84,1,HO MUNICIPAL,0
229,Ho West,VOLTA,District,6.590707,0.46714,83172,27.9,42.7,18.88,81.12,30.91,49.73,69.13,0,HO WEST,0
230,Hohoe Municipal,VOLTA,Municipal,7.153187,0.477735,114472,18.8,42.8,16.05,83.95,19.34,51.17,63.87,1,HOHOE MUNICIPAL,0
231,Keta Municipal,VOLTA,Municipal,5.9215688,0.9910728,78862,25.2,45.0,25.13,74.87,27.29,57.7,64.22,1,KETA MUNICIPAL,0
232,Ketu North Municipal,VOLTA,Municipal,6.192057,0.981151401381816,114993,27.2,44.3,31.57,68.43,38.02,49.34,72.98,1,KETU NORTH,0
233,Ketu South Municipal,VOLTA,Municipal,6.07748514999999,1.0706219725046,253122,25.6,45.4,30.06,69.94,47.86,53.02,72.91,1,KETU SOUTH,0
234,Kpando Municipal,VOLTA,Municipal,7.0000115,0.318327973849328,58552,23.4,43.4,18.77,81.23,19.74,53.83,59.38,1,KPANDO MUNICIPAL,0
235,North Dayi,VOLTA,District,6.91384645,0.22267318926127,39268,30.1,43.6,19.33,80.67,22.86,53.81,69.46,0,NORTH DAYI,0
236,North Tongu,VOLTA,District,6.14399495,0.297188924896433,111410,38.4,45.4,30.74,69.26,40.91,52.03,77.5,0,NORTH TONGU,0
237,South Dayi,VOLTA,District,6.5449087,0.240546020283373,57518,29.0,44.3,21.28,78.72,20.93,56.87,66.19,0,SOUTH DAYI,0
238,South Tongu,VOLTA,District,5.96577275,0.641061228110148,113114,32.4,45.2,28.7,71.3,34.34,53.42,73.21,0,SOUTH TONGU,0
239,Ahanta West Municipal,WESTERN,Municipal,4.8514282,-1.98665461803006,153140,27.2,44.7,24.99,75.01,46.3,49.01,66.14,1,AHANTA WEST MUNICIPAL,0
240,Effia Kwesimintsim Municipal,WESTERN,Municipal,4.96766095,-1.80360599719917,173975,9.3,42.5,8.98,91.02,23.32,47.64,52.48,1,EFFIA KWESIMINTSIM MUNICIPAL,0
241,Ellembelle,WESTERN,District,5.14952214999999,-2.42142536190491,120893,33.3,42.8,26.28,73.72,30.29,54.45,63.84,0,ELLEMBELLE,0
242,Jomoro Municipal,WESTERN,Municipal,5.199616,-2.61473434715296,126576,31.2,43.7,28.7,71.3,31.75,50.65,66.2,1,JOMORO,0
243,Mpohor,WESTERN,District,4.9705877,-1.8927971,52028,31.4,44.3,26.28,73.72,48.47,47.95,60.96,0,MPOHOR,0
244,Nzema East Municipal,WESTERN,Municipal,5.08576495,-2.22263416898707,94621,38.2,43.0,34.41,65.59,49.09,45.57,63.72,1,NZEMA EAST,0
245,Prestea/Huni Valley Municipal,WESTERN,Municipal,5.44481979999999,-2.04050432321944,229301,29.5,43.8,25.74,74.26,48.87,49.8,63.05,1,PRESTEA/HUNI VALLEY,0
246,"Sekondi Takoradi Metropolitan Area (STMA)- Takoradi, Sekondi & Essikado-Ketan",WESTERN,Metropolitan,4.95328,-1.73308,245382,10.1,42.6,9.65,90.35,20.06,50.37,52.83,1,SEKONDI TAKORADI METROPOLIS,0
247,Shama,WESTERN,District,5.0606463,-1.64288365568687,117224,22.0,44.4,20.93,79.07,30.4,48.6,68.98,0,SHAMA,0
248,Tarkwa-Nsuaem Municipal,WESTERN,Municipal,5.310935,-1.992426,219109,18.2,43.5,17.82,82.18,28.38,49.7,54.63,1,TARKWA NSUAEM,0
249,Wassa Amenfi Central,WESTERN,District,5.7890318,-2.0839856,117999,37.6,43.0,34.11,65.89,47.02,46.53,67.58,0,WASSA AMENFI CENTRAL,0
250,Wassa Amenfi East Municipal,WESTERN,Municipal,5.87660585,-1.98975398510416,179696,35.5,44.4,32.21,67.79,45.97,53.08,58.93,1,WASSA AMENFI EAST,0
251,Wassa Amenfi West Municipal,WESTERN,Municipal,5.7735167,-2.5321498,131000,24.9,42.0,29.93,70.07,27.83,42.72,61.84,1,WASSA AMENFI WEST,0
252,Wassa East,WESTERN,District,5.3622378,-1.62070954561049,99641,38.0,42.0,31.67,68.33,53.4,39.56,71.96,0,WASSA EAST,0
253,Aowin Municipal,WESTERN NORTH,Municipal,5.69311555,-2.7557437678514,133257,37.1,41.9,38.74,61.26,33.75,43.1,63.59,1,AOWIN,0
254,Bia East,WESTERN NORTH,District,6.817878,-3.00681786775424,53073,32.9,41.5,42.63,57.37,43.89,38.19,71.03,0,BIA EAST,0
255,Bia West,WESTERN NORTH,District,6.56894165,-3.06628883975843,115881,24.5,41.3,10.35,89.65,7.14,46.82,67.7,0,BIA WEST,0
256,Bibiani Anhwiaso Bekwai Municipal,WESTERN NORTH,Municipal,6.29602085,-2.23398871855776,167971,25.8,41.9,13.49,86.51,8.9,49.3,64.41,1,BIBIANI-ANHWIASO-BEKWAI MUNICIPAL,0
257,Bodi,WESTERN NORTH,District,6.24012575,-2.87347603617418,65748,18.6,41.7,58.55,41.45,37.76,44.41,65.26,0,BODI,0
258,Juaboso,WESTERN NORTH,District,6.3415722,-2.8235416,88814,18.9,42.3,44.93,55.07,34.31,48.64,62.53,0,JUABOSO,0
259,Sefwi Akontombra,WESTERN NORTH,District,6.0425529,-2.8760069,66689,24.5,42.2,44.28,55.72,27.02,40.09,68.47,0,SEFWI AKONTOMBRA,0
260,Sefwi Wiawso Municipal,WESTERN NORTH,Municipal,6.30540429999999,-2.51755838219394,151220,33.3,42.4,28.08,71.92,24.68,47.32,62.36,1,SEFWI-WIAWSO,0
261,Suaman,WESTERN NORTH,District,6.10824159999999,-3.00869712063798,38268,37.5,41.3,50.34,49.66,58.99,51.79,56.44,0,SUAMAN,0
