gj,lisa,lisa_p_fdr,genuine_dep_pca,nwpri_pca,ntd_pov_belt,buruli_focus
ABLEKUMA CENTRAL MUNICIPAL,Low-Low,0.0186,-1.13,-1.269,0,0
ABLEKUMA NORTH MUNICIPAL,Low-Low,0.0079,-1.323,-1.292,0,0
ABLEKUMA WEST MUNICIPAL,Low-Low,0.026,-1.227,-1.28,0,0
ABUAKWA NORTH,Not significant,0.0916,-1.064,-0.632,0,0
ABUAKWA SOUTH,Not significant,0.0706,-0.682,-0.52,0,0
ABURA-ASEBU-KWAMANKESE,Not significant,0.4488,0.018,-0.304,0,0
ACCRA METROPOLIS,Low-Low,0.0186,-0.892,-1.234,0,0
ACHIASE,Not significant,0.4337,-0.01,-0.339,0,0
ADA EAST,Not significant,0.3001,0.214,-0.883,0,0
ADA WEST,Not significant,0.4863,1.02,-0.637,0,0
ADAKLU,Not significant,0.4116,0.133,0.035,1,0
ADANSI AKROFUOM,Not significant,0.4235,0.557,-0.47000000000000003,0,0
ADANSI ASOKWA,Not significant,0.4776,0.443,-0.564,0,0
ADANSI NORTH,Not significant,0.311,-0.688,-0.826,0,0
ADANSI SOUTH,Not significant,0.3123,0.438,-0.511,0,0
ADENTA MUNICIPAL,Low-Low,0.0159,-1.312,-1.292,0,0
AFADZATO SOUTH,Not significant,0.26,-0.166,0.021,1,0
AFIGYA KWABRE NORTH,Not significant,0.311,-0.262,-0.713,0,0
AFIGYA KWABRE SOUTH,Low-Low,0.0224,-1.126,-0.964,0,0
AGONA EAST,Not significant,0.3976,0.085,-0.3459999999999999,0,0
AGONA WEST MUNICIPAL,Not significant,0.4908,-0.464,-0.448,0,0
AGOTIME ZIOPE,Not significant,0.483,-0.10700000000000001,-0.119,1,0
AHAFO ANO NORTH,Not significant,0.4271,-0.176,-0.686,0,0
AHAFO ANO SOUTH EAST,Not significant,0.3436,0.28,-0.577,0,0
AHAFO ANO SOUTH WEST,Not significant,0.499,0.336,-0.575,0,0
AHANTA WEST MUNICIPAL,Not significant,0.2656,0.089,-0.414,1,0
AJUMAKO-ENYAN-ESSIAM,Not significant,0.4459,0.066,-0.271,0,0
AKATSI NORTH,Not significant,0.4863,0.943,0.162,1,0
AKATSI SOUTH,Not significant,0.397,0.10400000000000001,-0.028,1,0
AKWAPEM NORTH,Not significant,0.1778,-0.8849999999999999,-0.541,0,0
AKWAPEM SOUTH,Not significant,0.3045,-0.75,-0.555,0,1
AKYEM MANSA,Not significant,0.0729,-0.255,-0.46900000000000003,0,0
AMANSIE CENTRAL,Not significant,0.4235,0.09799999999999999,-0.643,0,0
AMANSIE SOUTH,Not significant,0.4827,0.398,-0.6069999999999999,0,0
AMANSIE WEST,Not significant,0.2656,0.243,-0.593,0,1
ANLOGA,Not significant,0.4863,0.403,0.004,1,0
AOWIN,Not significant,0.3093,0.705,0.289,1,0
ASANTE AKIM CENTRAL MUNICIPAL,Not significant,0.2848,-0.941,-0.884,0,0
ASANTE AKIM NORTH,Not significant,0.4966,-0.178,-0.696,0,1
ASANTE AKIM SOUTH,Not significant,0.4908,-0.193,-0.725,0,0
ASENE AKROSO MANSO,Not significant,0.2462,-0.23799999999999996,-0.42500000000000004,0,0
ASHAIMAN MUNICIPAL,Not significant,0.2375,-1.241,-1.309,0,0
ASIKUMA-ODOBEN-BRAKWA,Not significant,0.4863,0.02,-0.284,0,0
ASOKORE MAMPONG MUNICIPAL,Low-Low,0.0079,-1.067,-0.999,0,0
ASOKWA  MUNICIPAL,Low-Low,0.0124,-1.62,-1.1020000000000003,0,0
ASSIN FOSU,Not significant,0.4288,-0.756,-0.508,0,0
ASSIN NORTH,Not significant,0.4863,0.356,-0.223,0,0
ASSIN SOUTH,Not significant,0.4863,-0.033,-0.317,0,0
ASUNAFO NORTH MUNICIPAL,Not significant,0.4829,-0.394,0.117,1,0
ASUNAFO SOUTH,Not significant,0.4843,0.198,0.122,1,0
ASUOGYAMAN,Not significant,0.3532,-0.69,-0.506,0,0
ASUTIFI NORTH,Not significant,0.1325,-0.354,0.128,1,0
ASUTIFI SOUTH,Not significant,0.4337,-0.292,0.058,1,0
ATEBUBU AMANTIN,Not significant,0.1051,0.351,0.56,1,0
ATIWA EAST,Not significant,0.1372,-0.822,-0.576,0,0
ATIWA WEST,Not significant,0.1407,-0.61,-0.5649999999999998,0,0
ATWIMA KWANWOMA,Low-Low,0.0186,-1.074,-0.948,0,0
ATWIMA MPONUA,Not significant,0.4776,-0.186,-0.716,0,0
ATWIMA NWABIAGYA NORTH,Not significant,0.1099,-1.087,-0.9540000000000001,0,0
ATWIMA NWABIAGYA SOUTH,Not significant,0.0658,-1.154,-0.9740000000000001,0,0
AWUTU SENYA,Not significant,0.1287,0.096,-0.416,0,0
AWUTU SENYA EAST,Not significant,0.1778,-1.055,-0.661,0,0
AYAWASO CENTRAL MUNICIPAL,Low-Low,0.0409,-1.009,-1.211,0,0
AYAWASO EAST MUNICIPAL,Low-Low,0.0124,-0.646,-1.146,0,0
AYAWASO NORTH MUNICIPAL,Low-Low,0.0186,-0.929,-1.177,0,0
AYAWASO WEST,Low-Low,0.0079,-1.367,-1.272,0,0
AYENSUANO,Not significant,0.1067,0.239,-0.354,0,0
BANDA,Not significant,0.4966,0.5940000000000001,-0.171,1,0
BAWKU MUNICIPAL,Low-High,0.0344,-0.095,0.8080000000000002,1,0
BAWKU WEST,High-High,0.0079,1.192,1.302,1,0
BEKWAI MUNICIPAL,Not significant,0.3426,-0.708,-0.832,0,0
BEREKUM EAST MUNICIPAL,Not significant,0.0826,-1.3019999999999998,-0.646,1,0
BEREKUM WEST,Not significant,0.1034,-0.943,-0.601,1,0
BIA EAST,Not significant,0.3614,0.832,0.203,1,0
BIA WEST,Not significant,0.3222,-1.078,0.028,1,0
BIAKOYE,Not significant,0.4112,0.20167268275620848,1.2474432318992656,1,0
BIBIANI-ANHWIASO-BEKWAI MUNICIPAL,Not significant,0.3614,-0.902,0.05500000000000001,1,0
BINDURI,Not significant,0.2238,1.469,1.429,1,0
BIRIM CENTRAL MUNICIPAL,Not significant,0.3222,-1.373,-0.71,0,0
BIRIM NORTH,Not significant,0.1665,-0.796,-0.578,0,0
BIRIM SOUTH,Not significant,0.3169,-0.398,-0.442,0,0
BODI,Not significant,0.28,0.735,-0.091,1,0
BOLE,Not significant,0.0567,0.82,2.005,1,0
BOLGA  EAST,Not significant,0.1083,-0.35,0.835,1,0
BOLGATANGA MUNICIPAL,Not significant,0.2746,-0.627,0.739,1,0
BONGO,Not significant,0.3822,1.257,1.4329999999999998,1,0
BOSOME FREHO,Not significant,0.2102,0.396,-0.586,0,0
BOSOMTWE,Low-Low,0.0159,-0.948,-0.9,0,0
BUILSA NORTH,Not significant,0.1673,0.5,1.139,1,0
BUILSA SOUTH,Not significant,0.1325,1.58,1.456,1,0
BUNKPURUGU NAKPANDURI,High-High,0.0079,0.393,1.9690000000000003,1,0
CAPE COAST METROPOLITAN,Not significant,0.4488,-1.171,-0.615,0,0
CENTRAL GONJA,High-High,0.0159,2.382,2.512,1,0
CENTRAL TONGU,Not significant,0.4116,0.512,0.093,1,0
CHEREPONI,Not significant,0.1222,1.936,2.29,1,0
DAFFIAMA BUSSIE ISSA,Not significant,0.1602,1.198,0.913,1,0
DENKYEMBOUR,Not significant,0.1523,-0.9140000000000001,-0.583,0,0
DORMAA EAST,Low-Low,0.0186,-0.697,-0.504,1,0
DORMAA MUNICIPAL,Not significant,0.4112,-0.856,-0.58,1,0
DORMAA WEST,Not significant,0.4427,-0.284,-0.428,1,0
EAST GONJA MUNICIPAL,High-High,0.0079,1.109,2.038,1,0
EAST MAMPRUSI,High-High,0.0079,1.528,2.307,1,0
EFFIA KWESIMINTSIM MUNICIPAL,Not significant,0.4116,-1.43,-0.7830000000000001,1,0
EFFUTU MUNICIPAL,Not significant,0.2421,-0.567,-0.434,0,0
EJISU MUNICIPAL,Low-Low,0.0294,-1.11,-0.954,0,0
EJURA-SEKYEDUMASE,Not significant,0.4863,0.169,-0.717,0,0
EKUMFI,Not significant,0.4776,0.6899999999999998,-0.231,0,0
ELLEMBELLE,Not significant,0.3273,0.11,-0.289,1,0
FANTEAKWA NORTH,Not significant,0.4977,0.035,-0.36,0,0
FANTEAKWA SOUTH,Not significant,0.2375,-0.671,-0.508,0,0
GA CENTRAL MUNICIPAL,Low-Low,0.032,-1.221,-1.292,0,0
GA EAST,Low-Low,0.0079,-1.263,-1.255,0,0
GA NORTH MUNICIPAL,Low-Low,0.0186,-1.214,-1.247,0,0
GA SOUTH MUNICIPAL,Low-Low,0.0463,-0.599,-1.137,0,1
GA WEST MUNICIPAL,Low-Low,0.0079,-1.067,-1.247,0,1
GARU,Not significant,0.0513,1.183,1.243,1,0
GOMOA CENTRAL,Not significant,0.4239,-0.347,-0.493,0,0
GOMOA EAST,Not significant,0.2463,-0.76,-0.583,0,0
GOMOA WEST,Not significant,0.4656,0.37,-0.297,0,0
GUSHEGU,High-High,0.0079,2.13,1.952,1,0
HO MUNICIPAL,Not significant,0.4863,-1.412,-0.39099999999999996,1,0
HO WEST,Not significant,0.4696,-0.317,-0.073,1,0
HOHOE MUNICIPAL,Not significant,0.4778,-0.915,-0.261,1,0
JAMAN NORTH,Not significant,0.3262,-0.9220000000000002,-0.608,1,0
JAMAN SOUTH MUNICIPAL,Low-Low,0.0492,-0.857,-0.585,1,0
JASIKAN,Not significant,0.4487,0.032,1.2,1,0
JIRAPA,Not significant,0.1275,1.191,1.146,1,0
JOMORO,Not significant,0.4235,0.134,-0.332,1,0
JUABEN MUNICIPAL,Low-Low,0.032,-0.479,-0.801,0,0
JUABOSO,Not significant,0.3586,0.252,-0.085,1,0
KADJEBI,Not significant,0.2262,-0.055999999999999994,1.138,1,0
KARAGA,High-High,0.0079,2.063,1.931,1,0
KASENA NANKANA EAST,Not significant,0.1665,0.065,1.018,1,0
KASENA NANKANA WEST,Not significant,0.4024,1.078,1.425,1,0
KETA MUNICIPAL,Not significant,0.4112,-0.267,-0.129,1,0
KETU NORTH,Not significant,0.4112,0.177,-0.087,1,0
KETU SOUTH,Not significant,0.4952,0.219,-0.119,1,0
KINTAMPO NORTH MUNICIPAL,High-High,0.032,0.251,0.545,1,0
KINTAMPO SOUTH,Not significant,0.3614,0.128,0.502,1,0
KOMENDA-EDINA-EGUAFO-ABIREM MUNICIPAL,Not significant,0.4863,0.033,-0.363,0,0
KORLE KLOTTEY MUNICIPAL,Low-Low,0.0079,-1.209,-1.245,0,0
KPANDAI,High-High,0.0079,1.824,1.893,1,0
KPANDO MUNICIPAL,Not significant,0.3963,-0.654,-0.167,1,0
KPONE KATAMANSO,Low-Low,0.0344,-1.156,-1.247,0,0
KRACHI EAST MUNICIPAL,Not significant,0.0826,1.193,1.427,1,0
KRACHI NCHUMURU,High-High,0.0124,1.7649999999999997,1.551,1,0
KRACHI WEST,High-High,0.0294,0.666,1.347,1,0
KROWOR MUNICIPAL,Not significant,0.0783,-1.076,-1.207,0,0
KUMASI METROPOLITAN,Low-Low,0.0079,-1.396,-1.048,0,0
KUMBUNGU,High-High,0.0124,1.41,1.818,1,0
KWABRE EAST,Low-Low,0.0159,-1.239,-1.013,0,0
KWADASO MUNICIPAL,Low-Low,0.0079,-1.466,-1.036,0,0
KWAEBIBIREM,Not significant,0.1513,-0.736,-0.5510000000000002,0,0
KWAHU AFRAM PLAINS NORTH,Not significant,0.4112,1.451,0.044,0,0
KWAHU AFRAM PLAINS SOUTH,Not significant,0.3426,1.003,-0.149,0,0
KWAHU EAST,Not significant,0.4952,-0.094,-0.349,0,0
KWAHU SOUTH,Not significant,0.4337,-0.163,-0.362,0,0
KWAHU WEST,Not significant,0.311,-1.078,-0.644,0,0
LA DADE-KOTOPON,Low-Low,0.026,-1.35,-1.28,0,0
LA-NKWANTANANG-MADINA,Low-Low,0.0079,-1.217,-1.231,0,0
LAMBUSSIE-KARNI,Not significant,0.233,0.9949999999999999,1.025,1,0
LAWRA,Not significant,0.201,0.611,0.928,1,0
LEDZOKUKU MUNICIPAL,Low-Low,0.0079,-1.152,-1.23,0,0
LOWER MANYA,Not significant,0.4488,-0.739,-0.547,0,0
MAMPONG MUNICIPAL,Not significant,0.4863,-0.472,-0.769,0,0
MAMPRUGU MOAGDURI,High-High,0.0159,2.064,2.1,1,0
MFANTSEMAN MUNICIPAL,Not significant,0.4112,-0.18,-0.386,0,0
MION,High-High,0.0079,2.142,1.991,1,0
MPOHOR,Not significant,0.2285,0.317,-0.32699999999999996,1,0
NABDAM,Not significant,0.1325,1.893,1.734,1,0
NADOWLI-KALEO,Not significant,0.1156,0.694,0.951,1,0
NANDOM,Not significant,0.2504,0.24500000000000002,0.7699999999999999,1,0
NANTON,Not significant,0.0706,1.412,1.713,1,0
NANUMBA NORTH,High-High,0.0079,1.482,1.747,1,0
NANUMBA SOUTH,High-High,0.0079,1.714,1.845,1,0
NEW JUABEN NORTH MUNICIPAL,Low-Low,0.0439,-1.537,-0.737,0,0
NEW JUABEN SOUTH MUNICIPAL,Not significant,0.0897,-1.619,-0.78,0,0
NINGO/PRAMPRAM,Not significant,0.4671,-0.45799999999999996,-1.063,0,0
NKORANZA NORTH,Not significant,0.4776,-0.078,0.498,1,0
NKORANZA SOUTH,Not significant,0.4825,-0.564,0.337,1,0
NKWANTA NORTH,High-High,0.0159,2.487,1.716,1,0
NKWANTA SOUTH MUNICIPAL,High-High,0.0159,1.389,1.46,1,0
NORTH DAYI,Not significant,0.3784,-0.344,-0.029000000000000005,1,0
NORTH EAST GONJA,High-High,0.0079,2.622,2.484,1,0
NORTH GONJA,High-High,0.0079,2.565,2.443,1,0
NORTH TONGU,Not significant,0.3637,0.602,0.143,1,0
NSAWAM ADOAGYIRI,Not significant,0.4966,-0.9919999999999999,-0.686,0,0
NZEMA EAST,Not significant,0.4776,0.838,-0.187,1,0
OBUASI EAST,Not significant,0.4112,-1.171,-0.963,0,0
OBUASI MUNICIPAL,Not significant,0.3792,-1.3120000000000003,-1.003,0,0
OFFINSO MUNICIPAL,Not significant,0.3822,-0.285,-0.748,0,0
OFFINSO NORTH,Not significant,0.2711,0.555,-0.526,0,0
OFORIKROM MUNICIPAL,Low-Low,0.0079,-1.373,-1.026,0,0
OKAIKWEI NORTH MUNICIPAL,Low-Low,0.0079,-1.237,-1.235,0,0
OKERE,Not significant,0.0847,-0.31,-0.46,0,0
OLD TAFO MUNICIPAL,Low-Low,0.0079,-1.324,-1.042,0,0
PRESTEA/HUNI VALLEY,Not significant,0.2581,0.236,-0.366,1,0
PRU EAST,High-High,0.0344,0.54,0.591,1,0
PRU WEST,Not significant,0.2881,1.141,0.756,1,0
PUSIGA,Not significant,0.2848,0.977,1.162,1,0
SABOBA,Not significant,0.1034,1.076,1.837,1,0
SAGNERIGU,Low-High,0.0186,-0.564,1.276,1,0
SAVELUGU,Not significant,0.0513,1.228,1.738,1,0
SAWLA-TUNA-KALBA,High-High,0.0124,2.114,2.356,1,0
SEFWI AKONTOMBRA,Not significant,0.2238,0.324,0.029,1,0
SEFWI-WIAWSO,Not significant,0.4261,0.083,0.21,1,0
SEKONDI TAKORADI METROPOLIS,Not significant,0.3532,-1.429,-0.767,1,0
SEKYERE AFRAM PLAINS NORTH,Not significant,0.238,2.063,-0.191,0,0
SEKYERE CENTRAL,Not significant,0.3327,0.8999999999999999,-0.412,0,0
SEKYERE EAST,Not significant,0.2524,-0.868,-0.876,0,0
SEKYERE KUMAWU,Not significant,0.4459,-0.341,-0.739,0,0
SEKYERE SOUTH,Not significant,0.1275,-0.607,-0.767,0,0
SENE EAST,High-High,0.0079,1.668,0.9859999999999999,1,0
SENE WEST,High-High,0.0079,0.415,0.518,1,0
SHAI OSUDOKU,Not significant,0.499,-0.423,-0.98,0,0
SHAMA,Not significant,0.4863,-0.473,-0.522,1,0
SISSALA EAST,High-High,0.0079,0.373,0.709,1,0
SISSALA WEST,Not significant,0.0935,0.568,0.78,1,0
SOUTH DAYI,Not significant,0.4271,-0.351,-0.052,1,0
SOUTH TONGU,Not significant,0.3013,0.217,0.019000000000000003,1,0
SUAMAN,Not significant,0.2815,1.479,0.299,1,0
SUAME MUNICIPAL,Low-Low,0.0079,-1.402,-1.052,0,0
SUHUM MUNICIPAL,Low-Low,0.0463,-0.726,-0.592,0,1
SUNYANI MUNICIPAL,Not significant,0.201,-1.378,-0.681,1,0
SUNYANI WEST,Not significant,0.0953,-0.861,-0.543,1,0
TAIN,Not significant,0.238,-0.157,-0.463,1,0
TALENSI,Not significant,0.1156,1.237,1.479,1,0
TAMALE METROPOLITAN,Low-High,0.0079,-0.155,1.324,1,0
TANO NORTH MUNICIPAL,Not significant,0.2503,-0.653,0.025,1,0
TANO SOUTH MUNICIPAL,Not significant,0.4863,-0.336,0.069,1,0
TARKWA NSUAEM,Not significant,0.2815,-0.743,-0.6,1,0
TATALE SANGULI,Not significant,0.3013,2.008,1.971,1,0
TECHIMAN MUNICIPAL,Not significant,0.3327,-1.116,0.16800000000000004,1,0
TECHIMAN NORTH,Not significant,0.3886,-0.768,0.276,1,0
TEMA METROPOLITAN,Not significant,0.1372,-0.9369999999999999,-1.224,0,0
TEMA WEST MUNICIPAL,Not significant,0.325,-1.342,-1.294,0,0
TEMPANE,Not significant,0.2377,1.486,1.366,1,0
TOLON,High-High,0.0124,2.285,2.076,1,0
TWIFO ATTI-MORKWA,Not significant,0.4257,0.378,-0.179,0,0
TWIFO HEMANG LOWER DENKYIRA,Not significant,0.499,0.435,-0.219,0,0
UPPER DENKYIRA EAST MUNICIPAL,Not significant,0.311,-0.4179999999999999,-0.381,0,0
UPPER DENKYIRA WEST,Not significant,0.4863,0.125,-0.375,0,0
UPPER MANYA,Not significant,0.4966,0.501,-0.281,0,0
UPPER WEST AKIM,Not significant,0.3784,0.333,-0.342,0,0
WA EAST,High-High,0.0079,1.722,1.119,1,0
WA MUNICIPAL,Low-High,0.0124,-0.767,0.456,1,0
WA WEST,Not significant,0.0971,2.146,1.39,1,0
WASSA AMENFI CENTRAL,Not significant,0.4488,0.775,-0.2,1,0
WASSA AMENFI EAST,Not significant,0.4863,0.621,-0.243,1,0
WASSA AMENFI WEST,Not significant,0.3214,-0.114,-0.462,1,0
WASSA EAST,Not significant,0.4952,0.8070000000000002,-0.191,1,0
WEIJA GBAWE MUNICIPAL,Low-Low,0.0224,-1.241,-1.284,0,0
WENCHI MUNICIPAL,Not significant,0.311,-0.152,-0.42,1,0
WEST AKIM,Not significant,0.4112,-0.372,-0.467,0,0
WEST GONJA,High-High,0.0079,0.469,2.055,1,0
WEST MAMPRUSI MUNICIPAL,High-High,0.0079,0.847,2.036,1,0
YENDI MUNICIPAL,High-High,0.0124,0.841,1.679,1,0
YILO KROBO,Low-Low,0.0409,-0.499,-0.512,0,0
YUNYOO-NASUAN,Not significant,0.054,2.04,2.353,1,0
ZABZUGU,High-High,0.0124,1.541,1.7710000000000001,1,0
